S_VC_DT,FIR_SUB,FIR_INC1,FIR_INC,FIR_INC_RATE,SCD_INC1,SCD_INC,SCD_INC_RATE,ADD_INC1,ADD_INC,ADD_INC_RATE,ADD_SUB,FOUR_INC1,FOUR_INC,FOUR_INC_RATE,WINTER_INC1,WINTER_INC,WINTER_INC_RATE
2023.05.02,9443676.0,8.0,8369331.0,88.6,19.0,8293787.0,87.8,0.0,6092248.0,64.6,9443676.0,0.0,1260217.0,13.4,188.0,1246551.0,13.2
2023.05.01,9443847.0,11.0,8369621.0,88.6,19.0,8294056.0,87.8,0.0,6092248.0,64.6,9443847.0,0.0,1260217.0,13.4,180.0,1246450.0,13.2
2023.04.30,9445501.0,41.0,8371261.0,88.6,74.0,8295662.0,87.8,0.0,6092248.0,64.6,9445501.0,0.0,1260217.0,13.4,719.0,1246794.0,13.2
2023.04.27,9445916.0,10.0,8371643.0,88.6,19.0,8296011.0,87.8,0.0,6092248.0,64.6,9445916.0,0.0,1260217.0,13.4,473.0,1246082.0,13.2
2023.04.26,9445979.0,17.0,8371744.0,88.6,15.0,8296093.0,87.8,0.0,6092248.0,64.6,9445979.0,0.0,1260217.0,13.4,399.0,1245548.0,13.2
2023.04.25,9446064.0,6.0,8371822.0,88.6,18.0,8296168.0,87.8,0.0,6092248.0,64.6,9446064.0,0.0,1260217.0,13.4,349.0,1245055.0,13.2
2023.04.24,9446130.0,17.0,8371965.0,88.6,20.0,8296297.0,87.8,0.0,6092248.0,64.6,9446130.0,0.0,1260217.0,13.4,454.0,1244624.0,13.2
2023.04.23,9446091.0,44.0,8371927.0,88.6,61.0,8296255.0,87.8,0.0,6092248.0,64.6,9446091.0,0.0,1260217.0,13.4,1199.0,6097444.0,13.2
2023.04.20,9446427.0,17.0,8372240.0,88.6,32.0,8296539.0,87.8,0.0,6092248.0,64.6,9446427.0,0.0,1260217.0,13.4,492.0,1242943.0,13.2
2023.04.19,9446773.0,22.0,8372336.0,88.6,37.0,8296638.0,87.8,0.0,6092248.0,64.6,9446773.0,0.0,1260217.0,13.4,435.0,1242382.0,13.1
2023.04.18,9447309.0,8.0,8372433.0,88.6,33.0,8296681.0,87.8,0.0,6092248.0,64.6,9447309.0,0.0,1260217.0,13.4,538.0,1241874.0,13.1
2023.04.17,9447367.0,10.0,8372603.0,88.6,12.0,8296816.0,87.8,0.0,6092248.0,64.6,9447367.0,0.0,1260217.0,13.4,613.0,1241254.0,13.1
2023.04.16,9447352.0,36.0,8372576.0,88.6,66.0,8296787.0,87.8,0.0,6092248.0,64.6,9447352.0,0.0,1260217.0,13.4,1614.0,1240620.0,13.1
2023.04.13,9447623.0,13.0,8372852.0,88.6,28.0,8297036.0,87.8,0.0,6092248.0,64.6,9447623.0,0.0,1260217.0,13.4,696.0,1238969.0,13.1
2023.04.12,9447777.0,20.0,8372994.0,88.6,26.0,8297158.0,87.8,0.0,6092248.0,64.6,9447777.0,0.0,1260217.0,13.4,650.0,1238159.0,13.1
2023.04.11,9435472.0,5.0,8362329.0,88.6,20.0,8286596.0,87.8,0.0,6092248.0,64.6,9435472.0,0.0,1260217.0,13.4,579.0,1237105.0,13.1
2023.04.10,9435587.0,13.0,8362534.0,88.6,22.0,8286778.0,87.8,0.0,6092248.0,64.6,9435587.0,0.0,1260217.0,13.4,810.0,1236393.0,13.1
2023.04.09,9435524.0,40.0,8362467.0,88.6,49.0,8286702.0,87.8,0.0,6092248.0,64.6,9435524.0,0.0,1260217.0,13.4,2427.0,1235561.0,13.1
2023.04.06,9428215.0,15.0,8355995.0,88.6,19.0,8280275.0,87.8,0.0,6088394.0,64.6,9428215.0,0.0,1260236.0,13.4,967.0,1232868.0,13.1
2023.04.05,9428421.0,19.0,8356201.0,88.6,32.0,8280478.0,87.8,0.0,6088551.0,64.6,9428421.0,0.0,1260319.0,13.4,754.0,1231797.0,13.1
